number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
24,0.017363765734886693,2025-06-21 05:36:39.257342,2025-06-21 05:36:39.736176,0 days 00:00:00.478834,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,COMPLETE
25,0.008375504398770427,2025-06-21 05:36:39.737636,2025-06-21 05:36:40.304889,0 days 00:00:00.567253,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,COMPLETE
26,0.12834617254288241,2025-06-21 05:36:40.306429,2025-06-21 05:36:40.781388,0 days 00:00:00.474959,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,COMPLETE
27,-0.015244744466575939,2025-06-21 05:36:40.782809,2025-06-21 05:36:41.235451,0 days 00:00:00.452642,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,COMPLETE
28,0.16415368540253883,2025-06-21 05:36:41.236993,2025-06-21 05:36:41.822934,0 days 00:00:00.585941,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,COMPLETE
29,0.16699534402848004,2025-06-21 05:36:41.824325,2025-06-21 05:36:42.257407,0 days 00:00:00.433082,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,COMPLETE
30,0.16699534402848004,2025-06-21 05:36:42.258779,2025-06-21 05:36:42.709422,0 days 00:00:00.450643,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,COMPLETE
31,0.1678305325411081,2025-06-21 05:36:42.710922,2025-06-21 05:36:43.321929,0 days 00:00:00.611007,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,COMPLETE
32,0.17234651385873076,2025-06-21 05:36:43.323378,2025-06-21 05:36:43.776395,0 days 00:00:00.453017,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,COMPLETE
33,0.17234651385873076,2025-06-21 05:36:43.778160,2025-06-21 05:36:44.233070,0 days 00:00:00.454910,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,COMPLETE
