date,nav_x,cash,shares,cost_basis,asset_value,total_assets,in_profit_taking,action,open,high,low,nav_y,volume,amount,pctChg,MA20,EMA10,EMA12,EMA13,EMA18,EMA20,EMA26
2017-01-03,6320.762,100000.0,0.0,,0.0,100000.0,False,,6273.818,6320.952,6273.752,6320.762,4857779200.0,57302999296.0,0.9122,,6320.762,6320.762,6320.762,6320.762,6320.762,6320.762
2017-01-04,6394.669,100000.0,0.0,,0.0,100000.0,False,,6321.747,6395.003,6314.126,6394.669,6673942272.0,78531887104.0,1.1693,,6334.199636363635,6332.132307692307,6331.320142857143,6328.541684210526,6327.800761904762,6326.236592592592
2017-01-05,6399.284,100000.0,0.0,,0.0,100000.0,False,,6391.583,6412.873,6385.121,6399.284,6144520192.0,72267792384.0,0.0722,,6346.033157024793,6342.463337278106,6341.029265306122,6335.988243767312,6334.6086893424035,6331.647511659808
2017-01-06,6371.616,100000.0,0.0,,0.0,100000.0,False,,6398.863,6401.738,6364.887,6371.616,6490247424.0,73723002880.0,-0.4324,,6350.684583020285,6346.948362312244,6345.3987988338195,6339.738533897069,6338.133195119318,6334.608140425748
2017-01-09,6415.417,100000.0,0.0,,0.0,100000.0,False,,6365.388,6415.468,6357.356,6415.417,6397903104.0,74310356992.0,0.6874,,6362.454113380232,6357.481998879592,6355.401399000417,6347.704688223693,6345.493557488907,6340.593981875692
2017-01-10,6393.928,100000.0,0.0,,0.0,100000.0,False,,6412.761,6428.834,6388.92,6393.928,6821068288.0,76722143232.0,-0.335,,6368.1766382201895,6363.089075975039,6360.905199143215,6352.57029998962,6350.106361537582,6344.5446498849005
2017-01-11,6331.963,100000.0,0.0,,0.0,100000.0,False,,6381.704,6402.898,6331.506,6331.963,6284335872.0,68331890944.0,-0.9691,,6361.592340361973,6358.300448901956,6356.770599265614,6350.401110517028,6348.378422343527,6343.612675819352
2017-01-12,6272.851,100000.0,0.0,,0.0,100000.0,False,,6325.623,6339.321,6269.199,6272.851,5343363328.0,57259476480.0,-0.9335,,6345.45755120525,6345.154379840116,6344.782085084813,6342.23794098892,6341.185334501287,6338.371070203104
2017-01-13,6194.657,90000.0,1.6142943830465513,6194.657,10000.0,100000.0,False,,6272.789,6282.716,6182.104,6194.657,5361148416.0,58444907264.0,-1.2465,,6318.039269167931,6322.000936787791,6323.335644358412,6326.70310509535,6327.230255024973,6327.725583521393
2017-01-16,6031.241,90000.0,1.6142943830465513,6194.657,9736.198469100065,99736.19846910007,False,盈利-2.64%，未达到卖出目标,6184.129,6184.336,5872.395,6031.241,7895834880.0,82148409344.0,-2.638,,6265.894129319216,6277.268638820438,6281.607838021497,6295.601830874787,6299.040802165452,6305.763762519808
2017-01-17,6082.065,90000.0,1.6142943830465513,6194.657,9818.243366824023,99818.24336682403,False,盈利-1.82%，未达到卖出目标,6006.079,6082.2,5957.043,6082.065,5054089728.0,54018905856.0,0.8427,,6232.470651261176,6247.237309771141,6253.10171830414,6273.124269730073,6278.376440054457,6289.193483814637
2017-01-18,6068.593,90000.0,1.6142943830465513,6194.657,9796.495592895619,99796.49559289562,False,盈利-2.04%，未达到卖出目标,6067.167,6098.784,6049.969,6068.593,4614217984.0,48404585984.0,-0.2215,,6202.674714668234,6219.75356980635,6226.743329974977,6251.594662390065,6258.397064811175,6272.852707235775
2017-01-19,6043.675,90000.0,1.6142943830465513,6194.657,9756.270605458865,99756.27060545886,False,盈利-2.44%，未达到卖出目标,6054.725,6074.463,6029.64,6043.675,4441961728.0,45854100480.0,-0.4106,,6173.7656756376455,6192.664559066912,6200.590711407123,6229.7083821384795,6237.947344352968,6255.8765807738655
2017-01-20,6121.998,90000.0,1.6142943830465513,6194.657,9882.70698442222,99882.70698442223,False,盈利-1.17%，未达到卖出目标,6037.56,6129.579,6034.969,6121.998,4571735296.0,49013086208.0,1.296,,6164.353370976255,6181.792780748925,6189.363181206107,6218.370447176534,6226.904549652685,6245.95964886469
2017-01-23,6172.167,90000.0,1.6142943830465513,6194.657,9963.694519325283,99963.69451932528,False,盈利-0.36%，未达到卖出目标,6130.44,6189.173,6130.195,6172.167,5038973696.0,52727412736.0,0.8195,,6165.774030798754,6180.311891402936,6186.906583890948,6213.50692642111,6221.691449685763,6240.493526726565
2017-01-24,6165.264,90000.0,1.6142943830465513,6194.657,9952.551045199112,99952.55104519911,False,盈利-0.47%，未达到卖出目标,6167.84,6177.207,6154.067,6165.264,5012780288.0,49571128576.0,-0.1118,,6165.681297926253,6177.996831187101,6183.8147861922425,6208.4287236399405,6216.317406858547,6234.920969191264
2017-01-25,6179.568,90000.0,1.6142943830465513,6194.657,9975.64191205421,99975.64191205421,False,盈利-0.24%，未达到卖出目标,6156.776,6187.433,6152.144,6179.568,4297428736.0,43740185088.0,0.232,,6168.206152848752,6178.238549466008,6183.208102450494,6205.390752730473,6212.8174633482095,6230.82074925117
2017-01-26,6223.706,90000.0,1.6142943830465513,6194.657,10046.89363753312,100046.89363753313,False,盈利0.47%，未达到卖出目标,6183.158,6224.189,6183.158,6223.706,4054247696.0,41944887040.0,0.7143,,6178.297034148979,6185.233541855853,6188.993516386138,6207.318673495685,6213.854466838857,6230.293730788121
2017-02-03,6207.092,90000.0,1.6142943830465513,6194.657,10020.073750653184,100020.07375065319,False,盈利0.20%，未达到卖出目标,6227.461,6231.603,6190.827,6207.092,3554149104.0,37929189888.0,-0.267,,6183.532482485528,6188.596381570337,6191.579014045262,6207.294813127718,6213.2104223780125,6228.575084063074
2017-02-06,6259.247,90000.0,1.6142943830465513,6194.657,10104.267274200978,100104.26727420097,False,盈利1.04%，未达到卖出目标,6206.535,6259.41,6195.495,6259.247,4575565568.0,50034776832.0,0.8403,6232.48815,6197.29875839725,6199.465707482593,6201.245869181654,6212.763464377433,6217.59485834201,6230.84707783618
2017-02-07,6255.927,90000.0,1.6142943830465513,6194.657,10098.907816849262,100098.90781684926,False,盈利0.99%，未达到卖出目标,6254.2,6269.46,6223.539,6255.927,5092823296.0,53950802944.0,-0.053,6229.2464,6207.958438688659,6208.152060177578,6209.057459298561,6217.306994442965,6221.245538499914,6232.704849848315
2017-02-08,6291.597,90000.0,1.6142943830465513,6194.657,10156.489697492532,100156.48969749254,False,盈利1.56%，未达到卖出目标,6248.47,6291.765,6219.02,6291.597,5388512000.0,57742141952.0,0.5702,6224.0928,6223.165449836175,6220.989743227182,6220.84882225591,6225.126995027917,6227.945677690398,6237.067231341031
2017-02-09,6331.177,80000.0,3.193779524592902,6262.173029163407,20220.383469173514,100220.38346917351,False,,6288.884,6331.329,6285.728,6331.177,7272232960.0,74903715840.0,0.6291,6220.687449999999,6242.803913502325,6237.941628884539,6236.609990505065,6236.290153446031,6237.777232196075,6244.03832531577
2017-02-10,6337.108,70000.0,4.7717864009156665,6286.953664615677,30239.32577553388,100239.32577553389,False,,6329.682,6350.339,6320.248,6337.108,8937713920.0,87202787328.0,0.0937,6218.96205,6259.950111047357,6253.1979936715325,6250.966849004341,6246.902558346449,6247.237305320257,6250.932375292379
2017-02-13,6369.652,60000.0,6.341730881399059,6307.426276527133,40394.618792165274,100394.61879216527,False,,6341.726,6370.207,6331.961,6369.652,8376505344.0,84625076224.0,0.5135,6216.6738,6279.895909038746,6271.113994645142,6267.92187057515,6259.823552204718,6258.8958476707085,6259.726421567018
